prompt,labels
with your baggy ass cheap 94 cent pair of sweatpants !,1
"you tweeted me , so im replying you thick cunt !",1
boutta whip ass in some late night fifa .,1
my mom be fuckin irkin me .,1
oh shit it is sunday o,1
man we been busy as shit,1
"sandy fucked over new york , which would have been nothing for us in la .",1
harry u bbe ur lurking follow us 50 bitches !,1
shut the fuck up ! stop reposting this horse shit,1
richardson was pretty corrupt and did this sort of shit all the time .,1
holy fuck its beast from the 46 s series beauty and the beast scglive,1
does your sanctimonious anonymous comment make you feel smug and superior ? .,1
ugghh bitch ! ! u knw why the hell im mad,1
"to be fair , the lapd are total fucking idiots .",1
"fuck yeah boys , we own the moon !",1
i 'm constantly surprised by the amount of dubious shit my cousins that age get up to .,1
i feel so stupid ! why did i had to cry for those little,1
well my legs gon get to fucking up lol it can still the size it is for now,1
can 't we just get cop cams and be done with this shit ?,1
2 words for you : russian hookers,1
"i thought you were going to say "" they are actually working together to fuck us in our assholes .",1
anonymous is so fucking annoying .,1
i got a ticket for playin ball u believe that shit man,1
it 's looking pretty fucking goddamn hilarious already .,1
naw the industy got em fucked up,1
if christian beadles can be verified why can 't i ? we do the same shit on you tube,1
lets try being intelligent adults here and stop this juvenile crap .,1
a sad reminder that both sides need to get a fucking grip .,1
* and i have fucking insurance * .,1
fuck it ? rt everyone could just come to my house but fuck it .,1
yes i do believe it you fat twat,1
"well i guess i 'm a jackwagon then , because i do not give a fuck .",1
i can 't fucking stand it,1
"as an american who thought it was a dick joke , thanks .",1
wth that shit is gross l bitxhes rly be foolen !,1
"seriously , we 're not all on a fucking mobile device .",1
they are raising a shit pot of money .,1
where the fuck do you think you are ?,1
shit instantly gets me hyped and inspired,1
he wasyears old and a public figure old enough to know not to say stupid things .,1
the fools running the city of eugene give fools a bad name .,1
i dont give no fuck ! beyonce is great,1
for instance anyone who believes in the tenants of their organization cult worship are mentally ill .,1
"perhaps as a husband he is a complete ass , emotionally abusive .",1
"man , what a shitty excuse for journalism .",1
"so i got a crush on a friend , awww shit",1
can you imagine syria with those lunatics in power .,1
"i believe that charles dickens wrote in oliver twist , the law is an ass !",1
you aint bout to kill my pets bitch - p,1
"stop being an ass good advice , you should take it .",1
i 'm imaging polandball casting some purple shit on the ground with soldiers spawning in around him .,1
"if no one is able to do shit in this world , fuck them all then .",1
doesn 't matter if zero fucks are given .,1
pffft buy new and fuck the car you 'll be in london living zone 23 lol,1
lol yeah because gas is cheap and shit,1
how in the fuck do they know what a mountain finds disrespectful ?,1
the way i see it both sides have done some seriously fucked up shit .,1
on the grounds that all the parties are shit .,1
fuck that game on veteran 12487127141 grenades thrown at you that detonate instantly is the problem,1
my mom would lose her shit when i would do this .,1
ryan find ur fuckin own .,1
"i completely agree , saving pearl saving his own ass",1
i wana be wit you for as long as we can stand eachovas bull shit .,1
i apologize for being such a dick then,1
it 's the fucking iraqi air force .,1
just how the fuck can they even do that ?,1
i am not a fan of sea world but fuck peta .,1
when will these halfwit progressives ever learn ?,1
i just don 't ever want to hear one fucking thing about it,1
it is ! yo fake ass nvr spit da real ! kmsl,1
i 'm waiting on your ass mama,1
theres a liberal pc moderating jerk playing god thestaradvertiser .,1
if they are idiots what i can do ?,1
shit i 'm starving can i come over ? !,1
"man you editorialized the shit out of that title , how about you go read the rules .",1
holy shit the comments on that article are depressing .,1
i feel like shit all over again,1
get that son of a bitch off the field .,1
that shit looks expensive as fuck,1
i exchange my bad habits for a habit and maybe he 'll come murder me,1
lol the massive democratic plan to lie and deceive to get the aca into law turns to shit,1
i wonder if he ever saw the irony or if he was too fucking selfish to care .,1
"kick em in the knee , kevin !",1
fuck em ' haha jk xd rt i lost 33 followers,1
more sore losers on the left .,1
sorry for being a complete bitch to you gabe,1
"bitch , that ain 't a damn secret",1
the poor are already fucked .,1
the machine along with their small cadre of useful idiots carried the day .,1
we gone give a party and we gone make it rain in that bitch son real talk,1
"shit it 's my rdo , no gym ! ! lol",1
i wouldnt take her ass to the corner store,1
birds of a shit feather flock together,1
"face down , ass up , that 's how transformers like to truck !",1
how can students of colour be expected to learn in such a toxic environment of white supremacy ?,1
i am still kind of bitter about that shit .,1
sup reporting this same fucking article every three hours .,1
i only read the one by obama for the same reason he 's a dick .,1
im not going to admit to somehting i didnt fucking do .,1
"this , again , needs context no , this fucking shit does not need any context at all .",1
im doing well this misty ass saturday,1
i fucking hate that shit .,1
i don 't give a fuck that she used her own server .,1
its just the damn internet .,1
"this is all coming out of our darned pockets , and i am not confident !",1
im trying to keep my mentions clean keep your dirty ass out my mentions,1
this is the motha fuckin guy that did the gears of war thing motha fucka .,1
shit i think hes doing that loko talk .,1
"yep , gov 't got involved because it * sounded * like a good idea , then shit happened .",1
focus less on name calling and teasing and go fucking vote this time .,1
based on what empirical evidence do you make such a ridiculous comment ?,1
shit ! that 's been their plan all along !,1
was the shit then and always will be,1
fuck yes ! making a new cd ?,1
"you need to find a better mcdonalds , they are screwing you .",1
rt loooooool im there till 76 th august fuck you lool * criess * stay till 76 rd !,1
anonymous is so fucking annoying .,1
wtf ! ! ! ! ! ! ! ! ! ! i jus clicked tht nasty shit,1
and all the rest are damned .,1
itt people cunts who don 't recognize a joke when they see one .,1
it is not possible to communicate an idiots idea .,1
but no teen should rot in jail forever for some stupid shit they got into in their youth .,1
i can 't muster up enough fucks to give to google the chick .,1
"fuck , my video card is tweaking out again .",1
they are as homophobic as i am !,1
fucking hell where r u .,1
depends on if he has a child like ass,1
sadly i took 66 fucking art classes this year so i am swamped -,1
freeland acted like a petulant little kid .,1
what the fuck are you doing assaulting a police officer ?,1
what the fuck is on my tv now ?,1
go after criminals not plants idiots !,1
"no we should not do that , what the fuck is wrong with you .",1
dont be such an easily played fool .,1
"it hurts how judgemental assholes view them , and no one gives a shit about that .",1
"bitch , the japanese invented suicide bombing .",1
can you imagine how fucked up it would be if they weren 't caught ?,1
"for whatever reason , your comment just blew my fucking mind .",1
the shit i just took reminded me of how much i miss your face .,1
girl this shit jus got started,1
hey boo ! - wut ya crazy ass been up to ? !,1
""" what the fuck is this ? .",1
you cant fix stupid and entitled .,1
i don 't know why the fuck people are downvoting me .,1
anyone that accredits there success or demise to the presidency is just pathetic .,1
fuckin idiots now they about to fight lol,1
absolutely fucking love the sheer amount of armchair dieticians and nutritional science experts nowadays .,1
i cannot bear 77 more years of pain in the ass .,1
if your illiterate ass could read you would see my name,1
you eva go night night nigga ? !,1
you need to pop that shit off,1
"kennedy , who was known for screwing around behind jackie os back with other women besides marilyn .",1
"oh , someone is definitely getting fucked .",1
fucking loved those grenade water balloons .,1
what the fuck it wrong with this world .,1
i will remove this pathetic scum myself .,1
you can 't talk shit like that and represent all the men and women in our country .,1
whats wrong with this bitch ass guido,1
the crisis of opioid deaths is a direct result of the stupid and corrupt policy of prohibition .,1
fuck off with the guns !,1
then come talk to me about been a dick .,1
shit this happened in los angeles a few times .,1
i think a female teacher is way more worst than a male one,1
that shit is lowkey amazing that he 's able to walk still,1
"fuck it , just get the van on it",1
have to say some of the laws and the people here are fucking retarded .,1
"these sick and deranged buffoons need to be ousted , now .",1
because governor cuomo doesn 't give a fuck about your ailments .,1
yeah because nsa only spies on them on not the whole fucking world .,1
"yeaah , same shit , new day really , bored",1
you must be a teachers union thug !,1
funny how you talk hella shit about her then go and hangout with her .,1
anything to get their kids away from these fucking psychos .,1
"if they only had oil , we 'd be all over that shit .",1
"im starting to think repubs are a bunch of soft , scared brats .",1
glad i dont have dat problem cuz i will b whoopin a bitch azz u feel me,1
oh give it a fucking rest already .,1
"because their original intention wasn 't to fuck over bots , but make camping the nms less tedious",1
"violent behavior in nam , holy shit , i hope he 's ok .",1
"they can fuckin rape you , girl ! !",1
i 'll kick you out and replace you !,1
nobody gives a shit what you think .,1
o come the fuck on .,1
""" biblical drought "" are you fucking retarded ?",1
don 't expect it to be fucking amazing .,1
"cognitive disconnect is a feature , not a bug with these clowns .",1
we don 't need * this * fucking pipeline .,1
i kno trust me i 'll neva 97 get that shit,1
i 'm fucking done with the olympics .,1
"it 's fucking korea , it 's one of the most advanced industrialized nations on earth .",1
"do people get that this whole organization is a fucking joke , yet ?",1
ever heard of minding your own business you guys are not the fucking world police .,1
you will never be able to get rid of me faggot .,1
fucked how they just laugh at it .,1
"for the record , that hp joke is shit because voldemort 's mum is dead , too",1
i need to be working a a record label or some shit .,1
i feel like doing some evil shit right now .,1
but not as important as votegetting no matter how ridiculously hypocritical it seems,1
"she 's a fucking populist , pandering moron .",1
it is this kind of silly thinking that makes you look bad .,1
at some point its not the fucking system thats broken but the people in it .,1
man it ain 't like that bro you know it shit man i 'm struggling,1
youre an obscene person and you should be banned .,1
screw torrence hoe ass ill buy us ice cream !,1
jelly is so nastyyy ! ! ew ew ew ew,1
"as per company policy , she was asked to go through a drug test what the fuck ?",1
i 'm 35 and still act like a fucking 15 yo lol,1
we will be voting to send your ass home next elevtion .,1
i would love a dogg ass meal cook by my girl but since i dont have one of those,1
my followers found that shit goofy too huh ?,1
"i wouldn 't give a shit if my county was like "" no weed "" .",1
if blacks can say nigger in the white house then what the hell you doing taking my comments down ?,1
i was so fucking pissed off .,1
i am nobody 's bitch * paraphrasing jet li *,1
their hard drives are shit .,1
"you sick oil workers are the cesspool of canada , many of you arent even a citizen here .",1
so it makes you shit liquid fire ?,1
we know we fucked up .,1
implying both of those shows don 't kick ass .,1
yes bitch i clearly asked have you heard him b4,1
"all the gunmen are dead now , so i hope that was their entire fucking life 's goal .",1
awww bre let me do your tracs wait yu hair long as shit what yu need tracs for,1
where do you blind ass simpletons come from ?,1
ps : im a fucking cunt piece of shit .,1
oh shit ! we freak when we run out in this house,1
sounds like dicks are wagging down at the missouri legislature .,1
transracial is a fucking thing now ?,1
"i went last week and seen transformers , was fucking shite xx",1
i couldn 't get n tht fuckin library,1
"so because some little shit from 90 years ago did it , you should ?",1
im boutta start buyin all old shit,1
"things go south and in general , i 'm losing 20 % of my shit .",1
the shit he said just don 't make no sense what so ever !,1
what kind of teacher or instructor makes you watch a stupid video ?,1
man these fucking poor people will bitch about anything won 't they ?,1
in the fucking dark ages .,1
it makes you look foolish .,1
"damn , maybe this isis shit is worse than i think .",1
could you imagine being the voice actor for that fucking kid ?,1
peer pressure ! ! ! is ah bitch lol but i love it haha,1
if you don 't have haters you ain 't doing shit right bossman .,1
but congress has been dragging its feet go fucking figure .,1
"instead of making the police police the police sweet , a third party entity should be doing that shit .",1
"in other words , be an actual fucking political activist .",1
had a dope ass caballero ii tho,1
"edit nevermind , he 's a fucking troll .",1
in this day age of incredibly destructive conspiracy theories important news sources should not encourage stupid linkages .,1
people are getting tired of bibi 's shit .,1
sorry but any plan in which kids die is a fuckn shit plan .,1
let 's get some comments on this video show the haters they ain 't shit,1
With your 94 cent pair of sweatpants!,0
"you tweeted me, so I'm replying you",0
lets have late night fifa,0
my mom be irkin me .,0
It is Sunday?,0
man we been busy.,0
