0
(A) trustful
E
(B) selfless
(A) benevolent
(B) sociable
(C) appreciative
(B) ambition
(A) loyal
(A) benevolent
(C) judicious
(A) lighthearted
(A) altruistic
(E) valiance
(B) friendly
(E) unflinching
(A) altruistic
(A) amiable
(A) irresponsible
(D) ambition
(A) charitable
(B) faithful
(A) tech-savvy
(D) ethical
(E) courteous
(C) selfless
(B) caring
(A) Hospitable
(B) goodwill
(D) attentive
(E) courageous
(B) humble
(A) peaceful
(A) humble
(A) patient
(B) friendly
(A) patient
(A) genuine
(D) adventuresome
(A) goodwill
Trusting
(D) balanced
(A) playful
(A) vigilant
(D) self-reflective
(A) caring
(E) grace
(D) empathetic
(A) selfless
(A) altruistic
(A) friendly
(C) modest
(A) humble
(A) amiable
(C) ambitious
(A) direct
(C) careful
(A) balanced
(D) courage
(B) helpful
(A) meek
(B) trustworthy
(B) mindful
(A) courage
(A) earnest
(D) benevolent
(E) calm
(D) loyal
(C) selfless
(A) gracious
(B) amiable
(E) straightforward
(C) just
(A) empathy
(A) unreliable
(C) appreciative
(C) heroic
(A) merciful
(C) prudent
(A) humorless
B
(A) calm
(B) humble
(B) independent
Indifference
(B) selfish
(C) elegance
(C) patient
Courteous
(B) forgiving
(B) selfless
(E) modest
(B) goodwill
(E) calm
(A) humble
(A) civility
(B) modest
(A) clever
(A) manly
(B) humble
(A) responsible
(A) stoic
(A) truthful
(A) disloyal
(A) amiable
Calm
(E) patient
(A) mature
Bold
(C) apologetic
(A) adventuresome
(A) good temper
(D) compassionate
(C) goodwill
(B) merciful
(A) forgiving
(E) altruistic
(C) friendly
(C) kindness
(A) egocentric
(C) humbleness
(A) humble
(A) adventurous
(A) Observant
(D) empathetic
(C) outgoing
(A) traitorous
A
(A) forgiving
(B) just
(A) unprincipled
D
(A) sober
(A) appreciative
C
Caring
(C) friendly
D
(A) narcissistic
(A) conservative
(A) Observant
(B) empathetic
(A) tough
(E) reasonable
(A) grateful
(A) respect
(C) diligent
(B) empathetic
(A) humbleness
(C)
(C) humble
(A) extravagant with money
(C) altruistic
(A) frugal
heroic
(A) modest
(C) empathetic
(A) humane
Attentive
(B) Impartiality
(A) forgiving
(C) ambitious
(A) courageous
(A) patient
(C) balanced
A.
(A) Patient
(B) tasteless
(B) benevolent
(B) direct
(E) calculating
(C) adventuresome
(B) Justice
(D) truthful
(A) direct
(B) just
temperance
(A) humility
(A) vigilant
(B) honest
(E) honorable
D
(B) tasteful
(B) truthful
(C) trustful
(A) generous
(C) ambition
(B) humble
(D) temperance
(A) self-control
(B) optimistic
(B) friendly
(A) Competitive
(B) merciful
(B) classy
(A) irresponsible
(A) just
(A) faithful
(B) forgiving
(B) tasteful
(A) lazy
(A) delicate
(B) grateful
(A) caring
(B) good temper
(A) peaceful
(B) dedicated
(B) respectful
(C) appreciative
(A) good-hearted
(A) hateful
(D) shameless
(A) unprincipled
(C) prudent
(A) humble
Reasonable
(B) humane
(A) masculine
(A) complacent
(B) appreciative
(B) trusting
(D) temperance
(D) friendly
(B) energetic
C
(A) decent
(E) courtliness
(D) generosity
(B) humble
(B) humility
(A) prudent
(D) temperance
(A) dependable
(B) honorable
(A) conservative
(A) compassionate
(A) patient
(C) just
(A) vigilant
(A) intelligent
(A) irrational
(B) humble
(A) eager
(A) irresponsible
(B) reliability
(A) brave
(A) balanced
(B) helpful
(A) heroic
(C) heroic
(D) magnanimous
B
(E) reliable
(B) good temper
(A) shy
(B) kindness
Humble
(B) civility
(A) courtliness
Patient
(B) easygoing
(C) manly
(A) calm
(C) intelligent
(C) helpless
(C) friendly
(C) decent
(A) Kind
(C) calm
(B) humility
(B) Courtesy
A.
(B) modest
(B) callous
(B) humble
(B) trusting
(D) helpful
(A) decisive
(C) respectful
(A) Justice
(E) prudent
(A) tasteful
(C) impartial
(A) mindful
(A) honest
(D) modest
(A) tidy
(A) amiable
(B) courageous
(A) smart
(A) altruistic
(D) goodwill
(A) dependable
(C) caring
C
(C) principled
(A) conscientious
(B) civility
(C) amiable
(B) diligent
(A) direct
(A) patriotic
B
(C) sensible
(A) malice
(D) calm
(A) buffoonery
(B) over-indulgence
(B) friendly
(C) humble
(B) honorable
Grateful
(C) forgiving
(B) malice
(B) humble
(E) organized
(D) modest
(B) kind
(B) temperate
(A) disloyal
B
Proper
(B) caring
(A) logical
(A) vigilant
(A) selfless
D
(A) prejudiced
(A) merciful
(A) modest
(D) good-hearted
(A) benevolent
(A) just
C
Charitable
(E) calm
(A) driven
(E) benevolence
Modest
(A) rude
(C) tolerant
(D) forgiving
(E) magnanimous
(B) attentive
(A) foolish
(E) ethical
(A) diligent
(D) caring
(E) truthful
(B) empathetic
(A) civility
(E) prudent
(A) good-hearted
(A) humble
(A) lazy
(E) trusting
(A) pretentious
(A) amiable
(D) humane
(D) Honest
D
(B) modest
(A) improper
(A) earnest
(B) honorable
(B) empathetic
(A) truthful
(B) courage
(E) attentive
(C) adventuresome
(C) friendly
(B) principled
(A) honorable
C
(A) humble
(C) helpful
(A) dishonest
(A) peaceful
(A) brave
(D) personable
(D) selfless
(E) heroic
(B) friendly
(A) stingy
(A) earnest
(A) humble
(D) appreciative
(D) forgiving
(A) dedicated
(A) modest
(A) humbleness
(E) reliable
(A) merciful
(D) unenvious
(C) reasonable
E) decent
(A) forgiving
A
(A) easygoing
(A) friendly
(C) reliable
(A) calm
(D) logical
(A) humble
(A) modesty
(A) candid
(B) faithful
(B) trustworthy
(A) altruistic
(A) rude
(B) wittiness
(A) boldness
(D) altruistic
(D) easygoing
(D) well-meaning
(A) tasteless
(A) sincere
(C) humane
(A) courage
(C) peaceful
(B) decent
(A) forgiving
(D) down-to-earth
D
(E) magnanimous
(A) reliable
(C) modest
(C) adventurous
(A) patient
(E) modesty
(A) selfish
(C) easygoing
(A) principled
(C) honorable
(C) kindhearted
(D) prudent
(A) modesty
cowardice
(C) forgiving
(B) dedicated
(C) mature
(B) caring
(C) honest
(A) earnest
(C) magnanimous
(A) unprincipled
(E) mature
(A) masculine
(C) empathetic
(B) grateful
(C) humbleness
(A) reasonable
(C) Honest
(E) loyal
(B) truthful
(D) merciful
(D) independent
(A) prudent
(A) superstitious
(A) ungrateful
(D) goodwill
D) modest
B.
(B) helpful
(A) caring
(B) humility
(A) patient
(A) foolish
(B) just
(A) selfish
(A) prudent
(A) just
(A) Committed
(A) mindful
(A) humble
Obedient
(C) humble
(C) just
(A) helpfulness
(E) hospitable
(A) forgiving
(C) peaceful
(B) Courteous
(B) prejudiced
(A) polite
(A) tough
(B) civility
(C) dependable
(A) cynical
(D) industrious
(A) reasonable
(A) good temper
(A) self-control
E
