AP/IB,Calculus,Counselors,FracSAT/ACT,black,Hispanic,white,lat,long,gis_x,gis_y,neigh1,neigh2,neigh3,neigh4,neigh5
1.0,1.0,1.0,0.16331658291457288,1,0,0,40.64966201204187,-73.9582039380805,995847.9967358492,175968.536711235,132,105,225,144,41
1.0,1.0,2.0,0.22065727699530516,0,1,0,40.85951528052686,-73.88795775660009,1015242.82255657,252441.9899162,283,99,2,270,64
1.0,0.0,1.0,0.29658792650918636,0,1,0,40.85957635133117,-73.88918291128678,1014903.89561163,252463.80924742,99,283,1,270,64
1.0,0.0,1.0,0.10732984293193717,0,1,0,40.81835919026026,-73.91136771611731,1008782.3972007,237439.88098177305,191,65,156,307,290
1.0,1.0,1.0,0.22838137472283815,0,1,0,40.87802543473587,-73.91325540415205,1008238.37995196,259178.021389352,271,100,305,8,230
1.0,1.0,1.5,0.5365853658536586,0,0,1,40.87476411807943,-73.89514739966005,1013247.39375991,257995.271519485,11,51,52,75,324
1.0,1.0,0.0,0.15633423180592992,1,0,0,40.66562802801845,-73.91186959485964,1008699.4664994,181794.933356778,57,66,302,336,55
1.0,0.0,1.0,0.01098901098901099,0,1,0,40.67783545413146,-74.01422016981877,980305.708664472,186230.467155405,9,202,281,37,332
0.0,0.0,1.0,0.11398963730569948,0,1,0,40.877867508165934,-73.91295340371394,1008321.95240533,259120.565327659,271,230,305,4,100
0.0,0.0,3.0,0.13549337260677466,0,1,0,40.67965394939385,-74.00178931119825,983753.706894391,186892.682217795,202,281,7,37,219
1.0,0.0,0.0,0.12442396313364056,0,1,0,40.71727757718351,-73.98921328291419,987240.174701856,200600.265307077,68,86,88,83,36
0.0,0.0,3.0,0.1483050847457627,0,1,0,40.87075271247328,-73.89738005131738,1012631.65771945,256533.02793498,75,51,324,52,5
1.0,1.0,2.0,0.1487279843444227,0,1,0,40.765746721003424,-73.99310136596391,986160.972513058,218259.006169867,87,85,43,278,82
0.0,0.0,1.0,0.3550561797752809,0,1,0,40.774932741060034,-73.98543005158731,988285.426500398,221606.039536968,343,49,341,159,82
1.0,1.0,2.0,0.15977961432506887,1,0,0,40.68547631964957,-73.95401664020147,997003.081161195,189017.28244632,224,54,312,175,142
1.0,1.0,5.0,0.11446409989594172,0,1,0,40.74859209463717,-73.94682309798773,998984.187333869,212013.4136846,277,249,208,108,107
1.0,0.0,2.0,0.14366197183098592,1,0,0,40.6697645918719,-73.96113025545259,995032.722590544,183292.0937606161,19,81,106,183,41
0.0,0.0,3.0,0.11475409836065574,0,1,0,40.82213893465186,-73.92366202311439,1005378.27520552,238813.773685945,285,284,307,222,344
1.0,0.0,2.0,0.10385259631490787,0,1,0,40.81327864896564,-73.92064492485245,1006216.25008127,235586.395989766,317,247,307,222,24
1.0,1.0,2.0,0.03944315545243619,1,0,0,40.669829630534586,-73.96145000434191,994944.011725062,183315.74999141105,16,106,81,183,41
0.0,0.0,1.4,0.1592920353982301,1,0,0,40.66936199020121,-73.9791114958813,990044.64343487,183143.713125984,47,19,106,16,81
1.0,0.0,2.0,0.17064846416382254,1,0,0,40.68606241896701,-73.78348943957255,1044296.7170688,189301.675737004,250,326,236,62,61
1.0,0.0,1.0,0.15926892950391644,0,1,0,40.69749098670753,-73.9138577006796,1008136.50314555,193402.975812692,117,116,292,58,147
0.0,0.0,3.0,0.026785714285714284,0,1,0,40.76561573826413,-73.82831268455399,1031808.71589458,218257.816253526,274,113,303,35,166
0.0,0.0,1.0,0.12727272727272726,0,1,0,40.81569865945887,-73.93028053744817,1003548.31844298,236465.822638088,200,222,247,18,284
1.0,0.0,2.0,0.06573705179282868,0,1,0,40.8515847160604,-73.86441475231047,1021759.69232458,249561.78952067305,154,199,300,266,1
0.0,0.0,2.0,0.07096774193548387,0,1,0,40.8396958513961,-73.91111300421969,1008845.01031528,245213.676990603,118,282,98,72,223
1.0,1.0,11.0,0.10394412489728841,0,1,0,40.75785332640745,-73.91053832202948,1009034.47742668,215395.76405589105,48,260,170,179,249
1.0,0.0,4.0,0.0703971119133574,1,0,0,40.582922088143135,-73.96342142715795,994410.348267943,151652.785968917,205,252,218,143,125
1.0,0.0,3.0,0.08,1,0,0,40.6738604646118,-73.89602313857631,1013092.08759708,184799.06207714693,80,55,157,78,56
