,Black,Hispanic,Other,White,X,Y,AP and/or IB,Calculus,FTE School Counselors,lat,long,Total_SAT_ACT,Total_students
0,81.7,10.8,4.199999999999989,3.3,995847.9967358492,175968.536711235,Yes,Yes,1.0,40.64966201204187,-73.9582039380805,65.0,398.0
1,30.5,64.3,3.6000000000000085,1.6,1015242.82255657,252441.98991620002,Yes,Yes,2.0,40.85951528052686,-73.88795775660009,94.0,426.0
2,33.3,60.9,4.0,1.8,1014903.89561163,252463.80924742,Yes,No,1.0,40.85957635133117,-73.88918291128678,113.0,381.0
3,25.4,72.5,1.5999999999999943,0.5,1008782.3972007,237439.88098177305,Yes,No,1.0,40.81835919026026,-73.91136771611731,41.0,382.0
4,22.2,60.8,12.099999999999994,4.9,1008238.37995196,259178.02138935198,Yes,Yes,1.0,40.87802543473587,-73.91325540415205,103.0,451.0
5,3.5,14.1,26.0,56.4,1013247.39375991,257995.271519485,Yes,Yes,1.5,40.874764118079426,-73.89514739966005,198.0,369.0
6,80.3,16.4,2.8000000000000114,0.5,1008699.4664994,181794.933356778,Yes,Yes,0.0,40.66562802801845,-73.91186959485964,58.0,371.0
7,30.2,58.2,4.5,7.1,980305.708664472,186230.467155405,Yes,No,1.0,40.67783545413146,-74.01422016981877,2.0,182.0
9,32.1,64.0,2.0999999999999943,1.8,1008321.95240533,259120.565327659,No,No,1.0,40.877867508165934,-73.91295340371394,44.0,386.0
10,39.5,45.2,5.400000000000006,9.9,983753.706894391,186892.682217795,No,No,3.0,40.67965394939385,-74.00178931119825,92.0,679.0
11,32.0,54.8,10.200000000000003,3.0,987240.174701856,200600.265307077,Yes,No,0.0,40.71727757718351,-73.98921328291419,54.0,434.0
12,18.0,75.8,4.1000000000000085,2.1,1012631.65771945,256533.02793498,No,No,3.0,40.87075271247328,-73.89738005131738,70.0,472.0
13,0.4,98.8,0.3999999999999915,0.4,986160.972513058,218259.006169867,Yes,Yes,2.0,40.765746721003424,-73.99310136596391,76.0,511.0
14,15.1,38.0,31.799999999999997,15.1,988285.426500398,221606.03953696802,No,No,1.0,40.774932741060034,-73.98543005158731,158.0,445.0
15,82.9,7.7,7.5,1.9,997003.081161195,189017.28244632,Yes,Yes,2.0,40.685476319649574,-73.95401664020147,58.0,363.0
16,14.2,55.4,21.900000000000006,8.5,998984.187333869,212013.4136846,Yes,Yes,5.0,40.74859209463717,-73.94682309798773,110.0,961.0
17,80.6,16.3,1.1000000000000085,2.0,995032.722590544,183292.0937606161,Yes,No,2.0,40.6697645918719,-73.96113025545259,51.0,355.0
18,28.3,69.1,1.0000000000000142,1.6,1005378.27520552,238813.773685945,No,No,3.0,40.82213893465186,-73.92366202311439,49.0,427.0
19,19.8,78.6,0.9000000000000057,0.7,1006216.25008127,235586.39598976602,Yes,No,2.0,40.81327864896564,-73.92064492485245,62.0,597.0
20,80.3,10.7,6.700000000000003,2.3,994944.011725062,183315.74999141105,Yes,Yes,2.0,40.669829630534586,-73.96145000434191,17.0,431.0
21,49.6,36.3,8.300000000000011,5.8,990044.64343487,183143.71312598398,No,No,1.4,40.66936199020121,-73.9791114958813,36.0,226.0
23,65.2,19.1,14.0,1.7,1044296.7170688,189301.67573700397,Yes,No,2.0,40.68606241896701,-73.78348943957255,100.0,586.0
24,11.2,77.0,6.799999999999997,5.0,1008136.50314555,193402.975812692,Yes,No,1.0,40.69749098670753,-73.9138577006796,61.0,383.0
25,37.1,41.1,14.900000000000006,6.9,1031808.71589458,218257.81625352602,No,No,3.0,40.76561573826413,-73.82831268455399,12.0,448.0
26,27.6,69.4,1.799999999999983,1.2,1003548.31844298,236465.82263808802,No,No,1.0,40.81569865945887,-73.93028053744817,42.0,330.0
27,27.1,60.0,3.6999999999999886,9.2,1021759.69232458,249561.78952067305,Yes,No,2.0,40.8515847160604,-73.86441475231047,33.0,502.0
28,29.4,65.2,4.099999999999994,1.3,1008845.01031528,245213.676990603,No,No,2.0,40.8396958513961,-73.91111300421969,22.0,310.0
29,6.1,50.3,28.200000000000003,15.4,1009034.47742668,215395.76405589105,Yes,Yes,11.0,40.75785332640745,-73.91053832202948,253.0,2434.0
30,67.3,18.1,6.799999999999997,7.8,994410.348267943,151652.78596891699,Yes,No,4.0,40.582922088143135,-73.96342142715795,39.0,554.0
31,68.0,28.4,2.799999999999997,0.8,1013092.08759708,184799.06207714693,Yes,No,3.0,40.6738604646118,-73.89602313857631,40.0,500.0
32,23.9,54.1,13.300000000000011,8.7,983566.8173332772,210050.141984006,No,No,0.0,40.74321565493945,-74.00246546368318,18.0,218.0
33,24.9,60.5,11.099999999999994,3.5,998881.796866508,228159.96174764802,Yes,No,1.0,40.79291032093957,-73.94715747998642,88.0,489.0
34,67.9,25.0,0.0,7.1,998881.431405502,237101.58659096,No,No,0.0,40.81745261524293,-73.94713931285688,4.0,28.0
35,35.9,61.6,1.7999999999999972,0.7,1000958.13889124,198626.97086664801,No,No,2.0,40.71184608463976,-73.93973218519481,94.0,946.0
36,41.5,53.8,3.3000000000000114,1.4,1001112.64041718,198675.61023592605,Yes,No,2.0,40.711979294990094,-73.93917476213808,71.0,509.0
37,9.2,76.6,10.5,3.7,1024868.52110484,208039.827915503,No,Yes,3.0,40.73760459585407,-73.85342850909137,154.0,828.0
38,33.3,53.6,6.300000000000011,6.8,986878.5257029808,202425.23866362,No,No,1.0,40.72228680440021,-73.99051717808567,14.0,237.0
39,63.8,25.6,6.400000000000006,4.2,986747.99991336,188738.99725311602,Yes,No,5.0,40.684721325485015,-73.99099314732364,57.0,589.0
40,28.4,34.0,9.200000000000003,28.4,995451.546808947,218227.353891981,No,No,0.0,40.765652953708326,-73.95956233519067,21.0,162.0
41,26.9,40.7,29.5,2.9,988681.9612933621,198801.76226326101,Yes,Yes,2.0,40.71234051142413,-73.98401338497996,55.0,349.0
42,30.8,60.0,7.599999999999994,1.6,999232.031013895,224660.51858737692,Yes,Yes,3.0,40.78330470209375,-73.94590042008831,45.0,617.0
44,84.3,8.7,3.5,3.5,996694.3622750741,183214.2552842461,No,No,1.0,40.6695487629456,-73.95514049270359,4.0,115.0
45,68.6,22.2,6.800000000000011,2.4,989714.8822832508,188470.21445628692,Yes,No,4.0,40.68398224352315,-73.98029589827242,146.0,924.0
46,40.8,53.5,4.300000000000011,1.4,986774.022611783,217495.471742093,No,No,1.0,40.763650862383216,-73.99088853436326,14.0,142.0
47,30.9,57.2,9.5,2.4,980652.7103095821,196360.15069021305,Yes,No,3.0,40.70563924481953,-74.01297455017796,64.0,537.0
48,30.0,39.3,24.900000000000006,5.8,988591.1865853141,206219.125053675,Yes,Yes,3.6,40.7326994232301,-73.98433603588042,30.0,743.0
49,17.8,76.2,4.799999999999997,1.2,1010770.51694183,240652.483198628,Yes,Yes,0.0,40.82717112326557,-73.90417221252942,55.0,411.0
50,67.3,23.7,6.200000000000003,2.8,990095.313701381,183236.946416364,Yes,No,1.4,40.66961786144547,-73.97892875909895,40.0,358.0
51,13.6,33.6,17.400000000000006,35.4,1005027.53997658,214827.245192824,Yes,Yes,3.0,40.75630321189787,-73.9250034525227,219.0,825.0
52,34.0,60.1,3.5999999999999943,2.3,988195.7174008059,221653.340698571,Yes,No,2.0,40.77506261083342,-73.98575391942335,16.0,576.0
53,24.6,71.8,2.5999999999999943,1.0,1010846.07849419,240625.87701822,No,No,3.0,40.82709786972715,-73.90389928823154,14.0,394.0
54,24.2,70.0,4.599999999999994,1.2,1012677.8192084999,256440.70495689104,Yes,No,2.0,40.87049916576592,-73.89721353643812,36.0,426.0
55,18.9,75.2,3.9000000000000057,2.0,1012755.37051009,256396.38992740802,Yes,No,3.0,40.87037728454207,-73.89693332298772,56.0,512.0
56,17.9,79.2,2.1999999999999886,0.7,1004321.93453375,192550.40128354105,No,No,2.0,40.695160342622884,-73.9276167776118,46.0,274.0
57,82.6,13.7,2.5,1.2,998831.960232046,188749.174638685,No,No,1.0,40.6847376010444,-73.94742289359158,6.0,161.0
58,75.1,22.7,1.7000000000000028,0.5,1013290.55559155,182303.49287301602,Yes,Yes,1.0,40.66701004128184,-73.89531840558097,28.0,441.0
59,73.3,18.3,6.799999999999997,1.6,1013316.28587831,182180.258341711,Yes,No,2.0,40.66667170571423,-73.89522618782354,38.0,251.0
60,87.8,9.8,1.5999999999999943,0.8,1008611.2455695999,181775.012501662,Yes,No,1.0,40.66557359290329,-73.912187667281,57.0,254.0
61,31.9,64.5,0.8000000000000114,2.8,1007764.12108793,192778.90875324,Yes,No,2.0,40.695779065814094,-73.91520280617459,4.0,248.0
63,59.8,36.0,3.0999999999999943,1.1,1050002.26709676,158457.057043556,No,No,2.2,40.6013603485832,-73.7632176495131,14.0,378.0
64,49.3,28.2,8.900000000000006,13.6,1033301.403941,153012.81628117198,Yes,No,3.0,40.58652520656777,-73.82339893545695,136.0,738.0
65,83.1,7.3,8.200000000000003,1.4,1051300.16572618,182755.73332317398,No,Yes,2.0,40.66804507055241,-73.7583023373958,56.0,510.0
66,76.1,11.6,11.5,0.8,1051337.21101682,182913.578474597,Yes,No,3.0,40.66847803802085,-73.75816722902456,141.0,502.0
68,46.5,48.8,3.0999999999999943,1.6,1000871.48427341,233573.57357594,Yes,No,1.0,40.80776568446266,-73.93995835424721,8.0,254.0
69,26.8,61.0,12.200000000000003,0.0,1013700.89574211,248362.82748970305,No,No,0.4,40.8483244810367,-73.89354989547894,4.0,228.0
70,37.4,55.8,2.5,4.3,1008674.76217168,237018.478324879,No,No,1.0,40.81720285720246,-73.91175812055413,2.0,163.0
71,86.3,7.7,6.0,0.0,1005357.93681095,182026.549853075,Yes,No,1.0,40.66627236061389,-73.92391372168342,4.0,168.0
72,54.4,35.4,8.0,2.2,980656.399322377,196282.115783935,Yes,No,3.0,40.705425058890796,-74.01296120316022,71.0,362.0
73,26.3,55.7,14.899999999999991,3.1,987159.0097412759,200630.168187291,No,No,1.0,40.71735968047609,-73.98950606340519,57.0,357.0
74,4.6,92.1,1.700000000000017,1.6,1003595.28461467,252956.791899253,No,Yes,3.0,40.86096146338974,-73.9300632959218,82.0,607.0
75,25.4,67.8,5.400000000000006,1.4,1017196.36110789,238404.236264876,Yes,No,2.0,40.82097869739511,-73.88096448321888,13.0,276.0
76,26.7,68.9,2.499999999999986,1.9,1014613.68352888,243957.14383570003,No,No,2.0,40.836229084606295,-73.8902705800502,36.0,363.0
77,20.2,75.1,3.700000000000003,1.0,1011398.62643747,245116.207035034,Yes,Yes,1.0,40.83942084354956,-73.90188457221085,95.0,405.0
78,25.8,63.9,8.799999999999997,1.5,1011213.23185851,243111.172967277,Yes,Yes,3.0,40.833918177083454,-73.90256264986294,82.0,457.0
79,37.2,60.6,1.0999999999999943,1.1,1012514.49175426,245994.037547238,Yes,No,1.0,40.84182672985439,-73.89784812693496,6.0,180.0
80,4.7,85.3,7.900000000000006,2.1,1012587.34268997,256455.476633385,No,No,1.0,40.87054000039903,-73.8975406096081,4.0,469.0
81,12.4,65.6,14.5,7.5,1024928.08199578,262877.128740257,No,No,2.0,40.88811717326213,-73.85288124764907,86.0,372.0
82,18.2,75.1,5.700000000000003,1.0,1017803.51413718,242640.700010792,Yes,Yes,2.0,40.832604286311664,-73.87874964953201,67.0,696.0
83,74.3,22.3,2.700000000000003,0.7,1013409.7274459999,182196.50904913602,No,Yes,1.0,40.66671600299901,-73.89488929362994,20.0,300.0
